,Address,Cusines,Restaurant,Latitude,Longitude,Clusters
1290,78 Airport Boulevard#03-220/221/222Jewel Changi Airport Singapore (819666),"Bar, Spanish, Seafood, Vegetarian Friendly",Tapas Club (Jewel Changi),1.3602082,103.9897593,21
1291,181 Orchard Road#02-13Orchard Central Singapore (238896),"Bar, Spanish, Seafood, Vegetarian Friendly",Tapas Club (Orchard),1.3006691,103.8404794,38
1292,1 Harbourfront Walk#01-98/99Vivo City Singapore (098585),"Bar, Spanish, Seafood, Vegetarian Friendly",Tapas Club (VivoCity),1.2632409,103.8229547,40
1293,39 Pekin Street#01-01Singapore (048769),"Modern European, Fusion, Burgers",Tapasta Bar,1.2835904,103.8484264,4
1294,1 Scotts Road#02-12Shaw Centre Singapore (228208),Cafe,Tarte by Cheryl Koh,1.3063434,103.8318606,11
1295,50 Tiong Bahru Road#01-04Singapore (168733),"Chinese, Vegetarian Friendly, Southeast Asian, Modern Asian, Vegetarian",Tasty Loong by Chef Pung (Link Hotel),1.2848792,103.8342762,0
1296,81 Lorong Chencharu Singapore (769198),"Chinese, Vegetarian Friendly, Southeast Asian, Modern Asian",Tasty Loong by Chef Pung (ORTO),1.4131494,103.82938,5
1297,227 River Valley Road Singapore (238285),Modern European,The Tavern Restaurant,1.2937601,103.8422092,34
1298,1 Cuscaden Road Lobby Level Regent Singapore Singapore (249715),"International, British",Tea Lounge,1.3047203,103.8248939,44
1299,165 Tanjong Pagar Road Amara Singapore Singapore (088539),Combined Menu Quintessential High Tea Experience Menu (28 Dec onwards) CNY Afternoon Tea Set Menu (1-28 Feb) Valentine's Day Afternoon Tea Set Menu (14 Feb),Tea Room (Amara Singapore),1.2747537,103.8435337,31
1300,6 Changi Village Road Singapore (509907),"Chinese, Seafood, Zi Char",Tekong Seafood Restaurant,1.389956,103.988702,7
