,Address,Cusines,Restaurant,Latitude,Longitude,Clusters
0,1 Tyrwhitt Road Singapore (207522),"American, Bar, Italian, Vegetarian Friendly",1 Tyrwhitt Bistro Bar,1.3090771,103.858211,8
1,1 Raffles Place Level 63Singapore,"Australian, Fusion, Burgers",1-Altitude,1.2829077,103.8513873,49
2,"10 Artillery Ave The Outpost Hotel, Level 7Singapore (099951)",Modern Asian,1-V:U – Restaurant and Day Club,1.2518488,103.8198682,14
3,"Grand Hyatt Singapore,10 Scotts Road,Lobby Level, Singapore (228211)","Bar, Buffet, Japanese, Seafood, British",10 SCOTTS,1.3065838,103.8331003,11
4,123A Telok Ayer Street Singapore (068592),Modern European,13% Wine Bistro @ Telok Ayer,1.2812115,103.8480053,4
5,15 Stamford Road The Capitol Kempinski Hotel Singapore (178906),Modern Asian,15 Stamford by Alvin Leung (The Capitol Kempinski Hotel Singapore),1.293891,103.8513613,16
6,9 Wallich Street Sofitel Singapore City Centre Singapore (078885),"Bar, Fusion",1864,1.2768338,103.8454143,31
7,35 Robinson Road Singapore (068876),"Bar, Modern European, Fusion",1927,1.2799728,103.8497276,4
8,1 Jalan Rajah Singapore (329133),"Buffet, Vegetarian Friendly, Local, Halal Certified",21 on Rajah,1.3269818,103.8475066,26
9,44/46 Tanjong Pagar Road Singapore (08846),"Korean, Vegetarian Friendly, BBQ",2D1N Soju Bang,1.2793185,103.8437729,31
10,176 Orchard Road#01-49The Centrepoint Singapore (238843),"Fusion, Local",49 Seats,1.3021165,103.839761,38
11,107 North Bridge Road#02-17Funan Mall Singapore (179105),"Modern European, French, Fusion, Seafood, Cafe",5 Senses Bistro (Funan Mall),1.291321,103.8500832,24
12,1 Vista Exchange Green#02-21The Star Vista Singapore (138617),"Bar, Japanese, International, Seafood",5 Senses Bistro (The Star Vista),1.3067634,103.7884236,9
13,51 Telok Ayer Street#01-01Singapore (048441),"Modern European, Modern Asian",51 Soho,1.2829964,103.8491447,4
14,566 Woodlands Road Singapore (728697),"Chinese, Seafood",566 Seafood & Beer Garden At Mandai Hill,1.408016,103.7574289,13
15,5 Fraser Street Level 38Andaz Singapore Singapore (189354),Steakhouse,665°F,1.2992107,103.8577253,16
16,23 Cuppage Road Singapore (229453),"Bar, Chinese, Seafood, Vegetarian Friendly, BBQ",6ix 6ix 六六,1.301676,103.8401411,38
17,1/A Tampines Street 92#03-02SAFRA Tampines Singapore (528882),"Bar, Fusion, Cafe",7th Heaven KTV & Cafe,1.3445675,103.9417986,15
18,1 Scotts Road#04-20/21Shaw Centre Singapore (228208),"Korean, BBQ",8 Korean BBQ (Shaw Centre),1.3062411,103.8318312,11
19,6 Eu Tong Sen Street#02-79//90The Central Singapore (059817),"Korean, BBQ",8 Korean BBQ (The Central),1.2892725,103.8463546,24
20,43 Woodlands Avenue 9SIT@RP Singapore (737729),"All-Day Breakfast, Cafe",9th ave.,1.4440819,103.7837001,19
21,333 New Bridge Road Singapore (088765),"American, Bar, Buffet, International, Seafood, All-Day Breakfast, British, Vegetarian Friendly, Local, Peranakan, Cafe",A*MUSE Social Gathering,1.2796464,103.8400603,31
22,79 Boat Quay Singapore (049867),"Bar, Japanese, Burgers, BBQ",Aburiya (Boat Quay),1.2883575,103.8492665,24
23,400 Upper Bukit Timah Road Singapore (678050),"Italian, Vegetarian Friendly",Acqua e Farina,1.3581309,103.7678974,48
24,10 Bayfront Avenue Tower 2 Lobby Marina Bay Sands Singapore (018956),American,Adrift by David Myers,1.2834492,103.8589451,49
25,24 Keong Saik Road Singapore (089131),Vegetarian,Afterglow,1.2801053,103.8416799,31
26,1A Cuscaden Road Level 4Hotel Jen Tanglin Singapore Singapore (249716),"Chinese, Seafood, Local, Peranakan, Zi Char",Ah Hoi's Kitchen,1.304358,103.82392,44
27,5 Lorong Telok Singapore (049018),"Chinese, Local",Ah Ter Teochew Fishball Noodle Bar,1.2870334,103.8487157,24
28,2 Venture Drive#02-43Vision Exchange Singapore (608526),Korean,Ahtti Korean Restaurant,1.3299165,103.7445695,3
29,30 Beach Road Level B1MJW Marriott Hotel Singapore South Beach Singapore (189763),"Japanese, Korean",Akira Back,1.2944085,103.8560531,16
30,383 Bukit Timah Road#01-02Alocassia Apartments Singapore (259727),"Italian, Seafood, Steakhouse, Vegetarian Friendly",Al Borgo @ Alocassia Apartments,1.3195254,103.8275419,44
31,"400 East Coast Road,Le Peranakan Hotel,Singapore (428996)","Italian, Vegetarian Friendly",Al Forno (East Coast) Italian Restaurant,1.3088164,103.9119891,23
32,693A East Coast Road Singapore (459058),"Bar, Italian, All-Day Breakfast, Vegetarian Friendly, Pizza",Al Forno Tapas & Wine Bar,1.3118299,103.9219039,6
33,73 Amoy Street Singapore (069892),"Seafood, Greek, Vegetarian Friendly",Alati Divine Greek Cuisine,1.2803267,103.846598,4
34,"15 Bussorah St, Singapore 199436","Middle Eastern, Vegetarian Friendly, Mediterranean",Alaturka Turkish & Mediterranean Restaurant,1.301179,103.8599691,8
35,39 Tyrwhitt Road Singapore (207538),"Buffet, Chinese, Seafood, Modern Asian",alittle tashi,1.3099981,103.8589681,8
36,2 Emerald Hill Road Peranakan Place Singapore (229287),"Bar, Local, Pizza",Alley Bar,1.3014424,103.8392721,38
37,5 Fraser Street Level 25Andaz Singapore Singapore (189354),"Buffet, Seafood, Vegetarian Friendly, Burgers, Modern Asian",Alley on 25,1.2992107,103.8577253,16
38,22 Scotts Road Goodwood Park Hotel Singapore (228221),Modern European,Alma By Juan Amador,1.3084774,103.834405,11
39,30 Victoria Street Singapore (187996),"Bar, Fusion, Vegetarian Friendly",Almost Famous Craft Beer Bar,1.2953653,103.852459,16
40,8 Raffles Avenue#01-13D Esplanade Mall Singapore (039802),"American, Bar, Fusion, Cafe",Alter Ego,1.2892364,103.8564027,12
41,76 Namly Place Singapore (267226),"Italian, Pizza",Amano,1.3243611,103.7968008,30
42,30 Robertson Quay#01-16Singapore (238251),"Bar, Japanese",Amazing Hokkaido,1.291333,103.8414166,34
43,1 Choa Chu Kang Grove Singapore (688236),International,Amber West,1.3748318,103.751726,13
44,9 Bishan Place#02-19/20/27Junction 8 Shopping Centre Singapore (579837),"Modern European, French, Italian, Spanish, Seafood, German, Cafe",Ambush-Pan European Dining (Junction 8),1.3506808,103.8487631,10
45,33 Hongkong Street Singapore (059672),"Bar, Italian, Vegetarian Friendly, Pizza",Amò,1.2874616,103.8471597,24
46,30 Victoria Street#01-13Chijmes Singapore (187996),Indian,Anglo Indian Cafe & Bar (CHIJMES),1.2951699,103.8521957,16
47,5 Straits View#01-10Marina One Singapore (018935),Indian,Anglo Indian Cafe & Bar (Marina One),1.2780388,103.8531501,49
48,1 Shenton Way#01-08Singapore (068803),Indian,Anglo Indian Cafe & Bar (Shenton Way),1.2796774,103.8506343,4
49,83 Duxton Road Singapore (089540),Chinese,Anouska's Restaurant and Bar,1.2786983,103.84319,31
50,80 Bras Basah Road Level 1Fairmont Singapore Singapore (189560),"Bar, Modern European, British, Vegetarian Friendly, Cafe, Vegetarian, Dessert Only",Anti:dote,1.293396,103.8534619,16
51,65 Serangoon Garden Way Singapore (555961),"Fusion, All-Day Breakfast, Cafe",Apollo Coffee Bar,1.3635104,103.865592,10
52,"323 Alexandra Road,Level 7Park Hotel Alexandra Singapore (159972)",Bar,Aqua Luna,1.2875458,103.8054094,27
53,109 Mount Faber Road Faber Peak Singapore Singapore (099203),Fusion,Arbora (formerly Spuds & Aprons),1.2713286,103.8194656,40
54,1 Fusionopolis View#01-02Sandcrawler Building Singapore (138577),Middle Eastern,Arkadas Cafe,1.2998378,103.7892136,9
55,60 Race Course Road Singapore (218567),"Indian, Fusion, Middle Eastern, Vegetarian Friendly",Aromas of India,1.3084757,103.8511286,8
56,1 St Andrew’s Road#06-02National Gallery Singapore (178957),Italian,Art,1.2902217,103.8515167,24
57,80 Middle Road Level 1Inter Continental Singapore Singapore (188966),Modern European,Ash & Elm,1.2983644,103.8549173,16
58,30 Victoria Street#01-23CHIJMES Singapore (187996),Japanese,Ashino,1.295092,103.852657,16
59,331 North Bridge Road#01-02 & #01-05/08 Odeon Towers Singapore (188720),"Chinese, Seafood, Dim Sum",Asia Grand Restaurant,1.2962396,103.8532832,16
60,80 Bras Basah Road Level 2Fairmont Singapore Singapore (189560),"Buffet, Malaysian, Fusion, International, Seafood, Vegetarian Friendly, Local, Southeast Asian",Asian Market Cafe,1.293396,103.8534619,16
61,6 Duke's Road Singapore (268886),"Fusion, All-Day Breakfast, Vegetarian Friendly, Cafe",Atlas Coffeehouse,1.3228827,103.811981,30
62,317 Outram Road Singapore (169075),"American, Bar, Local",Atrium Bar 317,1.2889969,103.834125,0
63,317 Outram Road Level 4Holiday Inn Singapore Atrium Singapore (169075),"Buffet, Fusion, International, Seafood, All-Day Breakfast, Vegetarian Friendly, Local, Halal Certified, Cafe",Atrium Restaurant,1.2891631,103.8342067,0
64,5 Fraser Street Level 25Andaz Singapore Singapore (189354),"Chinese, International, Vegetarian Friendly, Local",Auntie's Wok & Steam,1.2992107,103.8577253,16
65,47 Amoy Street Singapore (069873),"Bar, Modern Asian",Avenue 87,1.2804021,103.8469907,4
66,176 Orchard Road#01-33H The Centrepoint Singapore (238843),Indian,Awadh,1.3021165,103.839761,38
67,1 Seletar Road#02-02Greenwich V Singapore (807011),Cafe,Awfully Chocolate (Greenwich V),1.3873705,103.8694069,41
68,30 Robertson Quay#01-12Singapore (238251),"Buffet, Japanese",Azmaya,1.291333,103.8414166,34
69,5 Koek Road#03-24Cuppage Plaza Singapore (228796),"Buffet, Japanese, Steamboat",Azmaya Honten (Cuppage Plaza),1.3019646,103.8407001,38
70,86 East Coast Road Katong Square Singapore (428788),Modern Asian,Baba Chews Bar and Eatery,1.3047255,103.9046894,23
71,27 Lichfield Road Singapore (556847),Italian,Baci Baci,1.364913,103.8702518,36
72,22 Sam Leong Road Singapore (207913),"American, Bar, Fusion, Seafood, Vegetarian Friendly, Pizza, Burgers, Vegetarian",Bailamos Bistro Bar & Cafe,1.309362,103.8568559,8
73,3 Seng Poh Road Singapore (168891),Greek,Bakalaki Greek Taverna,1.2855878,103.8341703,0
74,1 Woodlands Square#05-05Causeway Point Singapore (738099),"Indonesian, Thai, Fusion, Halal Certified",Bali Thai (Causeway Point),1.4360933,103.7859471,19
75,2 Jurong East Street 21#01-21IMM Singapore (609601),"Indonesian, Thai, Fusion, Halal Certified",Bali Thai (IMM),1.3348154,103.7468395,3
76,23 Serangoon Central#02-13NEX Singapore (556083),"Indonesian, Thai, Fusion, Halal Certified",Bali Thai (NEX),1.3507723,103.8722585,36
77,391A Orchard Road#05-29 Ngee Ann City Podium Block Singapore (238873),"Indonesian, Thai, Fusion, Halal Certified",Bali Thai (Ngee Ann City),1.3025572,103.834568,11
78,3 Temasek Boulevard#B1-121A/121B Suntec City Singapore (038983),"Indonesian, Thai, Fusion, Halal Certified",Bali Thai (Suntec City),1.29503,103.8583026,12
79,83 Punggol Central#B1-13Waterway Point Singapore (828761),"Indonesian, Thai, Fusion, Halal Certified",Bali Thai (Waterway Point),1.40669,103.9021738,1
80,38-40 Tras Street Singapore (078977),"Spanish, Vegetarian Friendly",BAM! Restaurant,1.2783924,103.8443423,31
81,80 Marine Parade Road#03-01/02A Parkway Parade Singapore (449269),Indian,The Banana Leaf Apolo (Parkway Parade),1.3013366,103.9052333,23
82,1 Jelebu Road#02-18Singapore (677743),Thai,Bangkok Jam (Bukit Panjang Plaza),1.3799623,103.7643089,13
83,1 Kim Seng Promenade#02-127Great World City Singapore (237994),"Thai, Fusion",Bangkok Jam (Great World City),1.2926499,103.8322968,0
84,6 Raffles Boulevard#02-105B/C Marina Square Singapore (039594),Thai,Bangkok Jam (Marina Square),1.2911534,103.8576778,12
85,68 Orchard Road#03-85Plaza Singapura Singapore (238839),Thai,Bangkok Jam (Plaza Singapura),1.3005317,103.8452356,38
86,4 Jiak Chuan Road Singapore (089261),"Bar, Cafe",Bao Makers,1.2796626,103.841782,31
87,879 Bukit Timah Road Singapore (279892),"American, Bar, Indian, Vegetarian Friendly, Southeast Asian, Pizza, Burgers",Bar Bar Black Sheep (Bukit Timah),1.332671,103.79114,17
88,86 Robertson Quay#01-04Robertson Blue Singapore,"American, Bar, Indian, Vegetarian Friendly, Local, Southeast Asian, Burgers, BBQ",Bar Bar Black Sheep (Robertson Quay),1.2900394,103.8373405,34
89,3 Temasek Boulevard#01-602Suntec City Tower 4Singapore (038983),"Bar, Chinese, BBQ",Bar Bar Q,1.29503,103.8583026,12
90,270 Orchard Road Grand Park Orchard Singapore (238857),Bar,Bar Canary,1.3035171,103.836278,11
91,2 Stamford Road Level 70Swissotel the Stamford Singapore (178882),Bar,Bar Rouge,1.2932771,103.8535076,16
92,48 Prinsep Street#01-01/#02-01Singapore (188675),"Bar, Chinese, Malaysian, Seafood, Local, Peranakan, Zi Char, BBQ",Bar-beque,1.2996611,103.8497482,45
93,165 Tanjong Pagar#01-00Singapore (088539),"Bar, Modern European, French",Bar-Roque Grill,1.2750316,103.8435506,31
94,1 Harbour Front Walk#01-161/162Vivo City Singapore (098585),"Bar, Australian, Steakhouse, Burgers",Barossa Bar & Grill (VivoCity),1.2647884,103.822894,40
95,8 Raffles Avenue#01-11Esplanade Mall Singapore (039802),"Bar, Australian, International, Pizza, Burgers",Barossa Gastrobar (Esplanade),1.2899102,103.8564376,12
96,21 Duxton Hill Singapore (089604),"Bar, Spanish, Fusion",Bar·Celona,1.278527,103.8425029,31
97,920 East Coast Parkway#01-20 to 24Parkland Green Singapore (449875),"Thai, Fusion, Vegetarian Friendly, Burgers, BBQ",Basil & Thyme,1.298860,103.905823,23
98,1 Cuscaden Road Level 2Regent Singapore Singapore (249715),"Italian, Vegetarian Friendly",Basilico,1.3046549,103.8249313,44
99,97 Amoy Street Singapore (069917),"Spanish, Vegetarian Friendly",Basque Kitchen by Aitor,1.281337,103.847328,4
100,3A River Valley Road#01-05Singapore (179020),Indonesian,Bayang,1.295877,103.8397203,38
101,2 Keppel Bay Vista Marina At Keppel Bay Singapore (098382),"Bar, Fusion, Seafood",Bayswater Kitchen,1.2640448,103.8125054,40
102,30 Beach Road JW Marriott Singapore South Beach Singapore (189763),"Buffet, International, Seafood, Local",Beach Road Kitchen,1.2944085,103.8560531,16
103,6 Raffles Boulevard#01-01/02/03Marina Square Singapore (039594),"Bar, Italian",The Beacon,1.2924739,103.8565218,12
104,8 Craig Road Singapore (089668),"Australian, Cafe",Bearded Bella,1.2776408,103.8428254,31
105,90 Robertson Quay Singapore (238259),"Bar, Modern European, Fusion, Modern Asian",Beast & Butterflies,1.2908075,103.8372952,34
106,17 Jalan Klapa Singapore (199329),"American, Bar, All-Day Breakfast, Cajun",The Beast,1.3042819,103.8596373,8
107,1359 Serangoon Road Singapore (328241),Fusion,Bee Cheng Hiang Grillery,1.3270219,103.8672731,37
108,50 Cluny Park Road Singapore (257488),"Vegetarian Friendly, Cafe, Pizza",Bee's Knees,1.3189836,103.8155834,30
109,25 Church Street#01-07Capital Square Singapore (049482),"American, Bar, Indian, Fusion, Middle Eastern, Vegetarian Friendly",Beer Factory,1.2840326,103.8484637,4
110,72 Bussorah Street Singapore (199485),"Middle Eastern, Vegetarian Friendly",Beirut Grill,1.3009011,103.8599624,8
111,30 Robertson Quay#01-09Riverside View Singapore (238251),Italian,Bella Pasta,1.291109,103.8411025,34
112,30 Robertson Quay#01-14Riverside View Singapore (238251),"Italian, Pizza",Bella Pizza,1.291109,103.8411025,34
113,135 Jurong Gateway Road#02-337Singapore (600135),Chinese,Beng Hiang Restaurant,1.3338882,103.7404073,3
114,39 Neil Road Singapore (088823),"Fusion, International, Local",Beng Who Cooks,1.279815,103.842894,31
115,583 Orchard Road#01-20/21Forum The Shopping Mall Singapore (238884),All-Day Breakfast,Benjamin Browns,1.3061111,103.8286111,44
116,3 Pickering Street# 01-32/33China Square Central Nankin Row Singapore (048660),Japanese,Beppu Menkan Restaurant,1.2841124,103.847422,4
117,23 Bukit Pasoh Road Singapore (089837),"Modern European, Modern Asian",Beurre,1.279057,103.840518,31
118,181 South Bridge Road#01-04/K3Capri by Fraser Cross Street Exchange Singapore (058743),"Bar, Chinese, Malaysian, Local, Southeast Asian, Cafe, BBQ",BigBrand Satay,1.2835222,103.8469123,4
119,511 Guillemard Road#B1-02/09Grandlink Square Singapore (399849),"Indonesian, Malaysian, Seafood, Local, Southeast Asian, Peranakan, Halal Certified, Modern Asian",Bijan Restaurant,1.3142609,103.8914534,42
120,78 Moh Guan Terrace#01-19Singapore (162078),Japanese,Bincho at Hua Bee,1.2835735,103.8303734,0
121,7A/B Dempsey Road Singapore (249684),Japanese,Bincho at Min Jiang,1.304606,103.8089925,20
122,"20 Craig Road #01-02,Singapore (089692)",Spanish,Binomio,1.2780894,103.8423217,31
123,115 Amoy Street#01-01Singapore (069935),"Bar, Modern European, Chinese, Fusion, Cafe",Birds of a Feather,1.282141,103.847711,4
124,14 Scotts Road#02-59Far East Plaza Singapore (228213),"Japanese, Fusion, Steakhouse, Cafe, Burgers",Biseryu Japanese Restaurant,1.3070854,103.8333034,11
125,7 Fraser Street#01-25/26Duo Galleria Singapore (189356),"Modern European, Modern Asian",Bistro @ Duo,1.2995009,103.8585953,16
126,9 Raffles Blvd#01-79/80Millenia Walk Singapore (039596),"Modern European, French",Bistro G,1.292888,103.8597786,12
127,"61 Pasir Ris Green Pasir Ris Park, Carpark C Singapore (518225)","American, Italian, Vegetarian Friendly, Cafe, Pizza",Bistro Neigh,1.379718,103.94848,47
128,11-15 Jalan Klapa Singapore (199323),"Bar, Fusion, Seafood, Steakhouse, Local, Cafe, Pizza, BBQ, Vegetarian",Bistro XY,1.304325,103.859722,8
129,1 Tanglin Road#01-08Orchard Rendezvous Hotel Singapore (247905),"American, Steakhouse, South American, Burgers, BBQ",Black Angus Steakhouse,1.3065228,103.827668,44
130,118 Holland Avenue#02-01Singapore (278997),"Seafood, Steakhouse, Cafe, Burgers, BBQ",Black Marble,1.3105313,103.7961337,9
131,85 Upper East Coast Road Singapore (455222),"American, Modern European, French, Australian, Fusion, International, Seafood, Steakhouse, Vegetarian Friendly, Modern Asian",Black Pearl Steakhouse,1.3133976,103.9277362,6
132,10 Dempsey Road#01-21Singapore (247700),Greek,Blu Kouzina,1.3033906,103.8104867,20
133,10 Farrer Park Station Road Level 5Park Hotel Farrer Park Singapore (217564),"Thai, Vegetarian Friendly",Blue Jasmine,1.3120943,103.8547668,8
134,31 Ocean Way#01-13Quayside Isle Singapore (098375),"Chinese, Vegetarian Friendly",Blue Lotus Chinese Eating House,1.246831,103.8421169,29
135,Block 1202 East Coast Parkway#01-03East Coast Seafood Centre Singapore (449881),"Chinese, Seafood, Southeast Asian, Steamboat, Zi Char, BBQ",Blue Pier,1.305063,103.929647,6
136,5 Changi Business Park Central 1#01-72/73Changi City Point Singapore (486038),"Bar, Cafe, Pizza",BLVD @ Changi,1.334638,103.9623868,35
137,8 Marina Boulevard#01-02Marina Bay Financial Centre Tower 1Singapore (018981),"Bar, Fusion, Burgers",BLVD @ MBFC,1.2798897,103.8548685,49
138,11 Cove Drive#01-01ONE15 Marina Sentosa Cove Singapore (098497),"Bar, Burgers, BBQ",Boaters' Bar,1.24562,103.8398371,29
139,1 The Knolls Sentosa Island Singapore (098297),Bar,Bob's Bar,1.249141,103.8248866,14
140,115 Amoy Street#01-02Singapore (069935),"Bar, Modern European, Steakhouse, South American",boCHINche,1.2821776,103.8477473,4
141,70 Biopolis Street#01-05Singapore (138547),"Bar, Fusion, Cafe",Bodacious,1.3029085,103.7920137,9
142,8 Raffles Avenue01-13A Esplanade Mall Singapore (039802),"Seafood, South American, Cajun",The Boiler (Esplanade),1.2896635,103.8564438,12
143,18 Howard Road#01-06Novelty Bizcentre Singapore (369585),"Seafood, South American, Cajun",The Boiler (Howard Road),1.3341869,103.885778,2
144,6 Sentosa Gateway#01-05Sentosa Boardwalk Singapore (098072),"Indian, International",Bones 'n Barrels (Sentosa),1.260007,103.823374,40
145,3 Temasek Boulevard#01-641/642Suntec City Singapore (038983),"Korean, BBQ",Bornga (Suntec City),1.29503,103.8583026,12
146,1 Harbourfront Walk#02-123/124Vivocity Singapore (098585),"Korean, BBQ",Bornga (VivoCity),1.2644032,103.8222071,40
147,25 Lorong Mambong Singapore (277684),"Bar, Pizza",Boss Bistro & Bar,1.3114942,103.7945688,9
148,36-37 Pekin Street#01-01Far East Square Singapore (048766),Japanese,Botan Japanese Restaurant,1.2836894,103.8482793,4
149,50 Cluny Park Road The Garage Singapore Botanic Gardens Singapore (257488),"Bar, Modern European",Botanico at The Garage,1.3188018,103.8155363,30
150,28 Kandahar Street Singapore (198889),Japanese,Box n Sticks,1.302176,103.859796,8
151,52 Boat Quay Level 5Singapore (049841),"Italian, Vegetarian Friendly",Braci,1.2870832,103.8493468,24
152,29 Tanglin Road Lobby Level The St. Regis Singapore Singapore (247911),"French, Vegetarian Friendly",Brasserie Les Saveurs (The St. Regis Singapore),1.3055457,103.8260886,44
153,101 Thomson Road B1-13/14United Square Singapore,"Bar, German",Brauhaus Restaurant & Pub,1.3172768,103.8436682,26
154,2 Stadium Walk#01-06/07Singapore Indoor Stadium Singapore (397691),"Bar, Modern Asian",Brewerkz Indoor Stadium,1.2999798,103.8743317,37
155,1 Fullerton Road#01-01Singapore (049213),"Bar, Modern Asian",Brewerkz One Fullerton,1.2856406,103.8539179,49
156,1 Tanglin Road#01-02Orchard Rendezvous Hotel Singapore (247905),"Bar, Modern Asian",Brewerkz Orchard Rendezvous Hotel,1.3065228,103.827668,44
157,30 Merchant Road#01-07Riverside Point Singapore (058282),"Bar, Modern Asian",Brewerkz Riverside Point,1.2894761,103.8441414,34
158,13 Stamford Road#01-84B Arcade @ The Capitol Kempinski Singapore (178905),"American, Cafe",Broadway American Diner,1.2929876,103.8511619,16
159,126 East Coast Road Singapore (428811),"Bar, German",Brotzeit Katong,1.3059001,103.9051352,23
160,252 North Bridge Road#01-17Raffles City Shopping Centre Singapore (179103),"Bar, German",Brotzeit Raffles City,1.2937585,103.8534331,16
161,1 Harbourfront Walk#01-149Vivo City Singapore (098585),"Bar, German",Brotzeit VivoCity,1.2634018,103.8220077,40
162,3 Gateway Drive#01-04Westgate Singapore (608532),"Bar, German",Brotzeit Westgate,1.3345013,103.7426077,3
163,163 Tanglin Road#01-35Tanglin Mall Singapore (247933),"American, Italian, Seafood, Steakhouse, All-Day Breakfast, Vegetarian Friendly, Cafe",Brunetti,1.3048533,103.8236186,44
164,5 Duxton Hill Singapore (089591),"Bar, Modern European, French, German",BTM Mussels & Bar,1.2792538,103.8429506,31
165,81 Anson Road M Hotel Singapore (079908),"Buffet, International, Seafood, Vegetarian Friendly, Steamboat",The Buffet at M Hotel,1.273767,103.8450399,31
166,126 Tanjong Pagar Road Singapore (088534),Italian,Buko Nero,1.2775949,103.8435176,31
167,29 Scotts Road Singapore (228224),Italian,Buona Terra,1.3106807,103.8346232,11
168,2 Kung Chong Road#04-01Singapore (159140),"Italian, Cafe",Burlamacco Cafe & Pizzeria,1.28988,103.812957,27
169,30 Stanley Street Singapore (068739),"Italian, Vegetarian Friendly",Burlamacco Ristorante (Stanley Street),1.280995,103.848373,4
170,217 East Coast Road#01-01Singapore (428915),Italian,Burlamacco Ristorante @ East Coast,1.3075174,103.9069751,23
171,31 Keong Saik Road Singapore (089138),"Bar, Steakhouse, Modern Asian",Butcher Boy,1.2800213,103.8414866,31
172,328 North Bridge Road#02-02 to #02-07Raffles Arcade Singapore (188719)(Accessible via North Bridge Road entrance),Steakhouse,Butcher's Block (Raffles Hotel),1.2955861,103.8540165,16
173,19 Yong Siak Street Singapore (168650),Modern European,The Butcher's Wife,1.2827623,103.8301826,0
174,451 Joo Chiat Road#01-01Katong Point Singapore (427664),Indian,Butter & Spice,1.3068949,103.9043852,23
175,14 Bussorah Street Singapore (199435),"Middle Eastern, Vegetarian Friendly",Byblos Grill,1.3011937,103.8600438,8
176,333A Orchard Road#02-37Mandarin Gallery Singapore (238897),"Japanese, French",béni Singapore,1.3017091,103.8369254,38
177,"80 South Bridge Road, #01-01Singapore (058710)","Japanese, Fusion",Bōruto,1.2869337,103.8477798,24
178,313 Orchard Road#B1-37313@somerset Singapore (238895),"Korean, Cafe",Cafe de Paris,1.300898,103.838361,38
179,70 Collyer Quay#01-05Customs House Singapore (049323),"Modern European, Italian",Caffe Fernet,1.2824913,103.8534753,49
180,64 Club Street Singapore (069438),"Bar, Japanese, Italian, Vegetarian Friendly",Caffé B,1.2816083,103.846037,4
181,81 Anson Road M Hotel Singapore (079908),"Buffet, International, Seafood, Vegetarian Friendly",Café 2000,1.273767,103.8450399,31
182,30 Merchant Road#01-03Riverside Point Singapore (058282),"Bar, Vegetarian Friendly, Mexican",Café Iguana,1.289041,103.8445709,24
183,76 Bras Basah Road Carlton Hotel Singapore (189558),"International, Vegetarian Friendly, Local",Cafe Mosaic,1.2960301,103.8527419,16
184,68 Orchard Road#03-92Plaza Singapura Singapore (238839),"American, Cajun, Halal Certified",Cajun on Wheels (Plaza Singapura),1.3005317,103.8452356,38
185,"2 Finlayson Green Level 2, Ascott Raffles Place Singapore Singapore (049247)","American, Bar, Modern European, Italian, International, Southeast Asian","Cali, Ascott Raffles Place",1.2820375,103.85158,49
186,"31 Rochester Drive#01-01/02Cali, Park Avenue Rochester Hotel Singapore (138637)","American, Bar, Italian, International, Modern Asian","Cali, Park Avenue Rochester Hotel",1.3049379,103.7888898,9
187,22 Camden Park Hollandse Club Singapore (299814),"American, Italian, Fusion, British, Vegetarian Friendly, Local, Cafe, Pizza, Burgers",Camden Hill Restaurant & Bar,1.3298023,103.8164134,30
188,22 Camden Park Singapore (299814),Burgers,Camden Hill Restaurant & Bar (Delivery),1.3300674,103.8163733,30
189,20 Eastwood Road#01-14B Eastwood Centre Singapore (486442),Fusion,Camino House,1.3216364,103.9556659,35
190,Block 17A Dempsey Road Singapore (249676),"Vegetarian Friendly, Southeast Asian, Peranakan",Candlenut,1.3059001,103.8101446,20
191,1382 Ang Mo Kio Ave 1Bishan Park 2Singapore (569931),"American, Fusion",Canopy Bishan,1.3623857,103.8473062,10
192,33 Hyderabad Road #01-01Hort Park Singapore (119578),"Modern European, All-Day Breakfast, Vegetarian Friendly, Cafe, Pizza, Burgers",Canopy HortPark,1.2787362,103.8018322,27
193,80 Stamford Road#B1-61SMU School of Information Systems Singapore (178902),"Cafe, Burgers",Canteen Bistro,1.2975488,103.8494183,45
194,3 Binjai Park Singapore (589819),Italian,Capri Trattoria & Pizzeria,1.3357096,103.7865354,17
195,112 Middle Road#01-00Midland House Singapore (188970),"Fusion, Seafood, Modern Asian",Captain K Seafood Tower,1.2990794,103.8537523,45
196,30 Victoria Street#01-32CHIJMES Singapore (187996),"Buffet, Steakhouse, South American, BBQ",Carnivore Brazilian Churrascaria (CHIJMES),1.2951699,103.8521957,16
197,75E Loewen Road Singapore (248845),"Australian, Vegetarian Friendly, Cafe",Carrotsticks & Cravings (Dempsey),1.3020448,103.8129476,20
198,7 Rodyk Street#01-34Singapore (238215),"Australian, All-Day Breakfast, Cafe",Carrotsticks & Cravings (Robertson Quay),1.2904731,103.8382463,34
199,"791 Bukit Timah Road #01-01,Singapore (269764)",Italian,Caruso Ristorante,1.3310862,103.7960996,17
200,323 Alexandra Road Level 7Park Hotel Alexandra Singapore (159972),"Buffet, Modern European, Vegetarian Friendly",The Carvery,1.2875458,103.8054094,27
201,200 Turf Club Road#01-09The Grandstand Singapore (287994),"Modern European, Italian",Casa Roma Ristorante Italiano,1.3380084,103.7934418,17
202,6 Mohamed Sultan Road Singapore (238956),"Italian, Vegetarian Friendly",Casa Tartufo,1.2939978,103.8418827,34
